;Columna1;Columna2
227;'Colorado Spring';Aeropuerto de Colorado Springs (COS)
228;'Denver';Aeropuerto Internacional de Denver (DEN)
229;'Daytona Beach';Aeropuerto Internacional de Daytona Beach (DAB)
230;'Fort Lauderdale';Aeropuerto Internacional Fort Lauderdale-Hollywood (FLL)
231;'Melbourne';Aeropuerto Internacional de Melbourne (MLB)
232;'Miami';Aeropuerto Internacional de Miami (MIA)
233;'Miami';Aeropuerto Internacional de Jacksonville (JAX)
234;'Miami';Aeropuerto Internacional Southwest Florida (RSW)
235;'Miami';Aeropuerto Internacional Sanford (SFB)
236;'Orlando';Aeropuerto Internacional de Orlando (MCO)
237;'Tampa';Aeropuerto Internacional de Tampa (TPA)
238;'West Palm Beach';Aeropuerto Internacional de Palm Beach (PBI)
239;'Atlanta';Aeropuerto Internacional Hartsfield-Jackson (ATL)
240;'Savannah';Aeropuerto Internacional de Savannah/Hilton Head (SAV)
241;'Honolulu';Aeropuerto Internacional de Honolulu (HNL)
242;'Chicago';Aeropuerto Internacional Chicago Midway (MDW)
243;'Chicago';Aeropuerto Internacional Chicago-O’Hare (ORD)
244;indianápolis';Aeropuerto Internacional de Indianápolis (IND)
245;'Cincinnati';Aeropuerto Internacional de Cincinnati/Kentucky Norte (CVG)
246;'Louisville';Aeropuerto Internacional de Louisville (SDF)
247;'Lafayette';Aeropuerto Regional de Lafayette (LFT)
248;'Nueva Orleans';Aeropuerto Internacional Louis Armstrong (MSY)
249;'Baltimore';Aeropuerto Internacional de Baltimore-Washington (BWI)
250;'Boston';Aeropuerto Internacional Logan (BOS)
251;'Detroit';Aeropuerto Internacional de Detroit (DTW)
252;'Kalamazoo';Aeropuerto Internacional de Kalamazoo (AZO)
253;'Lansing';Aeropuerto Internacional de Capital Region (LAN)
254;'Minneapolis';Aeropuerto Internacional de Minneapolis-Saint Paul (MSP)
255;'Kansas City';Aeropuerto Internacional de Kansas City (MCI)
256;'Saint Louis-Lambert';Aeropuerto Internacional de Saint Louis-Lambert (STL)
257;'Las Vegas';Aeropuerto Internacional McCarran (LAS)
258;'Cheektowaga';Aeropuerto Internacional de Buffalo Niagara (BUF)
259;'Newark';Aeropuerto Internacional Libertad de Newark (EWR)
260;'Nueva York';Aeropuerto Internacional John F. Kennedy (JFK)
261;'Nueva York';Aeropuerto LaGuardia (LGA)
262;'Nueva York';Aeropuerto Internacional de Albany (ALB)
263;'Albuquerque';Aeropuerto Internacional de Albuquerque Sunport (ABQ)
264;'Cleveland';Aeropuerto Internacional de Cleveland-Hopkins (CLE)
265;'Portland';Aeropuerto Internacional de Portland (PDX)
266;'Filadelfia';Aeropuerto Internacional de Filadelfia (PHL)
267;'Memphis';Aeropuerto Internacional de Memphis (MEM)
268;'Austin';Aeropuerto Internacional de Austin-Bergstrom (AUS)
269;'Dallas';Aeropuerto de Dallas Love Field (DAL)
270;'Dallas';Aeropuerto Internacional de Dallas-Fort Worth (DFW)
271;'Laredo';Aeropuerto Internacional de Laredo (LRD)
272;'McAllen';Aeropuerto Internacional de McAllen-Miller (MFE)
273;'Houston';Aeropuerto Intercontinental George Bush (IAH)
274;'Salt Lake City';Aeropuerto Internacional de Salt Lake City (SLC)
275;'St. George';Aeropuerto Municipal de St. George (SGU)
276;'Seattle';Aeropuerto Internacional de Seattle-Tacoma (SEA)
277;'Washington D. C.';Aeropuerto Internacional Washington-Dulles (IAD)
278;'Washington D. C.';Aeropuerto Nacional Ronald Reagan de Washington (DCA)
279;'Milwaukee';Aeropuerto Internacional General Mitchell (MKE)
280;'Rock Springs';Aeropuerto de Rock Springs-Sweetwater County (RKS)
281;Ciudad de México';Aeropuerto Internacional de la Ciudad de México (MEX)
282;'Aguascalientes';Aeropuerto Internacional Licenciado Jesús Terán Peredo (AGU)
283;'Mexicali';Aeropuerto Internacional General Rodolfo Sánchez Taboada (MXL)
284;'Tijuana';Aeropuerto Internacional de Tijuana (TIJ)
285;'La Paz';Aeropuerto Internacional Manuel Márquez de León (LAP)
286;'Los Cabos';Aeropuerto Internacional de Los Cabos (SJD)
287;'Ciudad del Carmen';Aeropuerto Internacional de Ciudad del Carmen (CME)
288;Tuxtla Gutiérrez';Aeropuerto Internacional Ángel Albino Corzo (TGZ)
289;Ciudad Juárez';Aeropuerto Internacional Abraham González (CJS)
290;'Chihuahua';Aeropuerto Internacional General Roberto Fierro Villalobos (CUU)
291;'Victoria de Durango';Aeropuerto Internacional General Guadalupe Victoria (DGO)
292;'Toluca';Aeropuerto Internacional Lic. Adolfo López Mateos (TLC)
293;León de los Aldama';Aeropuerto Internacional Del Bajío (BJX)
294;'Acapulco';Aeropuerto Internacional de Acapulco (ACA)
295;'Guadalajara';Aeropuerto Internacional de Guadalajara (GDL)
296;'Puerto Vallarta';Aeropuerto Internacional de Puerto Vallarta (PVR)
297;'Uruapan';Aeropuerto Internacional de Uruapan (UPN)
298;Álvaro Obregon';Aeropuerto Internacional General Francisco J. Mujica (MLM)
299;'Cuernavaca';Aeropuerto Internacional de Cuernavaca-Mariano Matamoros (CVJ)
300;'Monterrey';Aeropuerto Internacional Mariano Escobedo (MTY)
301;Oaxaca de Juárez';Aeropuerto Internacional de Oaxaca (OAX)
302;Santa María Huatulco';Aeropuerto Internacional de Bahías de Huatulco (HUX)
303;'Huejotzingo';Aeropuerto Internacional de Puebla (PBC)
304;Santiago de Querétaro';Aeropuerto Internacional de Querétaro (QRO)
305;Cancún';Aeropuerto Internacional de Cancún (CUN)
306;'Cozumel';Aeropuerto Internacional de Cozumel (CZM)
307;Culiacán';Aeropuerto Internacional Federal de Culiacán (CUL)
308;Mazatlán';Aeropuerto Internacional General Rafael Buelna (MZT)
309;San Luis de Potosí';Aeropuerto Internacional Ponciano Arriaga (SLP)
310;'Hermosillo';Aeropuerto Internacional de Hermosillo (HMO)
311;'Villahermosa';Aeropuerto Internacional Carlos Rovirosa Pérez (VSA)
312;'Reynosa';Aeropuerto Internacional General Lucio Blanco (REX)
313;'Tampico';Aeropuerto Internacional General Francisco Javier Mina (TAM)
314;'Poza Rica';Aeropuerto Nacional El Tajín (PAZ)
315;'Veracruz';Aeropuerto Internacional General Heriberto Jara (VER)
316;Mérida';Aeropuerto Internacional Manuel Crescencio Rejón (MID)
317;San José';Aeropuerto Internacional Juan Santamaría (SJO)
318;San José';Aeropuerto Internacional Tobías Bolaños (SYQ)
319;'Liberia';Aeropuerto Internacional Daniel Oduber Quirós (LIR)
320;'San Salvador';Aeropuerto Internacional de El Salvador (SAL)
321;'Ciudad de Guatemala';Aeropuerto Internacional La Aurora (GUA)
322;'Santa Elena';Aeropuerto Internacional Mundo Maya (FRS)
323;'Tegucigalpa';Aeropuerto Internacional Toncontín (TGU)
324;'La Ceiba';Aeropuerto Internacional Golosón (LCE)
325;'San Pedro de Sula';Aeropuerto Internacional Ramón Villeda Morales (SAP)
326;'Managua';Aeropuerto Internacional Augusto C. Sandino (MGA)
327;Ciudad de Panamá';Aeropuerto Internacional de Tocumen (PTY)
328;Ciudad de Panamá';Aeropuerto Internacional Marcos A. Gelabert (PAC)
329;'Ciudad de David';Aeropuerto Internacional Enrique Malek (DAV)
330;'Isla de Antigua';Aeropuerto Internacional V. C. Bird (MDQ)
331;'Oranjestad';Aeropuerto Internacional Reina Beatriz (AUA)
332;'Nassau';Aeropuerto Internacional Lynden Pindling (NAS)
333;'La Habana';Aeropuerto Internacional José Martí­ (HAV)
334;'Varadero';Aeropuerto Juan Gualberto Gómez (VRA)
335;'Santiago de Cuba';Aeropuerto Internacional de Santiago de Cuba (SCU)
336;'Willemstad';Aeropuerto Internacional Hato (CUR)
337;'Kingston';Aeropuerto Internacional Norman Manley (KIN)
338;'Montego Bay';Aeropuerto Internacional de Sangster (MBJ)
339;'San Juan';Aeropuerto Internacional Luis Muñoz Marín (SJU)
340;'Aguadilla';Aeropuerto Internacional Rafael Hernández (BQN)
341;'Ceiba';Aeropuerto José Aponte de la Torre (NRR)
342;'Ponce';Aeropuerto Internacional Mercedita (PSE)
343;'Isla de Vieques';Aeropuerto Antonio Rivera Rodríguez (VQS)
344;'Santo Domingo';Aeropuerto Internacional de Las Américas (SDQ)
345;'Santo Domingo';Aeropuerto Internacional La Isabela (JBQ)
346;'Barahona';Aeropuerto Internacional María Montez (BRX)
347;'La Romana';Aeropuerto Internacional de La Romana (LRM)
348;'Puerto Plata';Aeropuerto Internacional General Gregorio Luperón (POP)
349;'Punta Cana';Aeropuerto Internacional de Punta Cana (PUJ)
350;Samaná';Aeropuerto Internacional Presidente Juan Bosch (AZS)
351;'Santiago de los Caballeros';Aeropuerto Internacional del Cibao (STI)
352;'Philipsburg';Aeropuerto Internacional Princesa Juliana (SXM)
353;'Vieux-Fort';Aeropuerto Internacional Hewanorra (UVF)
354;Puerto España';Aeropuerto Internacional de Piarco (POS)
355;'Buenos Aires';Aeropuerto Internacional Ministro Pistarini (EZE)
356;'Buenos Aires';Aeroparque Jorge Newbery (AEP)
357;'Mar del Plata';Aeropuerto Internacional Astor Piazolla (MDQ)
358;'Bariloche';Aeropuerto Internacional Teniente Luis Candelaria (BRC)
359;'Catamarca';Aeropuerto Coronel Felipe Varela (CTC)
360;Córdoba';Aeropuerto Internacional Ingeniero Ambrosio Taravella (COR)
361;'Corrientes';Aeropuerto Internacional Doctor Fernando Piragine Niveyro (CNQ)
362;'Chubut';Aeropuerto Internacional General Enrique Mosconi (CRD)
363;'Chubut';Aeropuerto Internacional Brigadier General Antonio Parodi (EQS)
364;'Entre Rios';Aeropuerto General Justo José de Urquiza (PRA)
365;'Formosa';Aeropuerto Internacional de Formosa (FMA)
366;Iguazú- Misiones';Aeropuerto Internacional de Puerto Iguazú (IGU)
367;'Mendoza';Aeropuerto Internacional de Mendoza El Plumerillo (MDZ)
368;'Mendoza';Aeropuerto Internacional Comodoro Ricardo Salomón (LGS)
369;Neuquén';Aeropuerto Internacional Presidente Perón (NQN)
370;Resistencia- El Chaco';Aeropuerto Internacional de Resistencia (RES)
371;'Rosario';Aeropuerto Internacional Rosario Islas Malvinas (ROS)
372;'Rosario';Aeropuerto de Sauce Viejo (SFN)
373;'Salta';Aeropuerto Internacional de Salta Martín Miguel de Güemes (SLA)
374;'Tierra del Fuego';Aeropuerto de Río Grande (RGA)
375;'Tierra del Fuego';Aeropuerto Internacional de Ushuaia Malvinas Argentinas (USH)
376;Tucumán';Aeropuerto Internacional de Tucumán (TUC)
377;'La Paz';Aeropuerto Internacional El Alto (LPB)
378;'Cochabamba';Aeropuerto Internacional Jorge Wilstermann (CBB)
379;'Santa Cruz de la Sierra';Aeropuerto Internacional Viru Viru (VVI)
380;'Brasilia';Aeropuerto Internacional de Brasilia (BSB)
381;Río Branco';Aeropuerto Internacional de Rio Branco (RBR)
382;'Tabatinga';Aeropuerto Internacional de Tabatinga (TBT)
383;Tefé';Aeropuerto Regional de Tefé (TFF)
384;'Manaos';Aeropuerto Internacional Eduardo Gomes (MAO)
385;Salvador de Bahía';Aeropuerto Internacional Deputado Luís Eduardo Magalhães (SSA)
386;'Fortaleza';Aeropuerto Internacional Pinto Martins (FOR)
387;Vitória- Goiabeiras';Aeropuerto Eurico de Aguiar Salles (VIX)
388;'GoiÃ¢nia';Aeropuerto Santa Genoveva (GYN)
389;Cuiabá';Aeropuerto Internacional Marechal Rondon (CGB)
390;'Belo Horizonte';Aeropuerto Internacional de Belo Horizonte-Tancredo Neves (CNF)
391;Belém';Aeropuerto Internacional de Belém (BEL)
392;'Curitiba';Aeropuerto Internacional de Curitiba Afonso Pena (CWB)
393;'Londrina';Aeropuerto José Richa (LDB)
394;Maringá';Aeropuerto Regional Silvio Name Junior (MGF)
395;'Dois Vizinhos';Aeropuerto de Pampulha – Carlos Drummond de Andrade (PLU)
396;'Recife';Aeropuerto Internacional de Recife-Guararapes (REC)
397;Río de Janeiro';Aeropuerto Internacional de Galeão (GIG)
398;Río de Janeiro';Aeropuerto Santos Dumont (SDU)
399;'Natal';Aeropuerto Internacional Augusto Severo (NAT)
400;'Porto Alegre';Aeropuerto Internacional Salgado Filho (POA)
401;'Porto Velho';Aeropuerto Governador Jorge Teixeira (PVH)
